Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [855/1000] Loss: 0.057475
Epoch [856/1000] Loss: 0.057326
Epoch [857/1000] Loss: 0.057121
Epoch [858/1000] Loss: 0.057568
Epoch [859/1000] Loss: 0.057163
Epoch [860/1000] Loss: 0.057466
Epoch [861/1000] Loss: 0.057570
Epoch [862/1000] Loss: 0.057338
Epoch [863/1000] Loss: 0.057502
Epoch [864/1000] Loss: 0.057343
Epoch [865/1000] Loss: 0.057550
Epoch [866/1000] Loss: 0.057392
Epoch [867/1000] Loss: 0.057538
Epoch [868/1000] Loss: 0.057898
Epoch [869/1000] Loss: 0.057404
Epoch [870/1000] Loss: 0.057718
Epoch [871/1000] Loss: 0.057383
Epoch [872/1000] Loss: 0.057419
Epoch [873/1000] Loss: 0.057397
Epoch [874/1000] Loss: 0.057273
Epoch [875/1000] Loss: 0.057236
Epoch [876/1000] Loss: 0.057531
Epoch [877/1000] Loss: 0.057333
Epoch [878/1000] Loss: 0.056889
Epoch [879/1000] Loss: 0.057440
Epoch [880/1000] Loss: 0.057181
Epoch [881/1000] Loss: 0.057576
Epoch [882/1000] Loss: 0.057406
Epoch [883/1000] Loss: 0.057404
Epoch [884/1000] Loss: 0.057433
Epoch [885/1000] Loss: 0.057488
Epoch [886/1000] Loss: 0.057259
Epoch [887/1000] Loss: 0.057295
Epoch [888/1000] Loss: 0.057413
Epoch [889/1000] Loss: 0.057474
Epoch [890/1000] Loss: 0.057485
Epoch [891/1000] Loss: 0.057280
Epoch [892/1000] Loss: 0.057413
Epoch [893/1000] Loss: 0.057374
Epoch [894/1000] Loss: 0.057324
Epoch [895/1000] Loss: 0.057298
Epoch [896/1000] Loss: 0.057539
Epoch [897/1000] Loss: 0.057462
Epoch [898/1000] Loss: 0.057376
Epoch [899/1000] Loss: 0.057226
Epoch [900/1000] Loss: 0.057181 | Val PSNR: 24.6709
Epoch [901/1000] Loss: 0.057260
Epoch [902/1000] Loss: 0.057183
Epoch [903/1000] Loss: 0.057325
Epoch [904/1000] Loss: 0.057407
Epoch [905/1000] Loss: 0.057570
Epoch [906/1000] Loss: 0.057562
Epoch [907/1000] Loss: 0.057345
Epoch [908/1000] Loss: 0.057411
Epoch [909/1000] Loss: 0.057327
Epoch [910/1000] Loss: 0.057267
Epoch [911/1000] Loss: 0.057483
Epoch [912/1000] Loss: 0.057174
Epoch [913/1000] Loss: 0.057686
Epoch [914/1000] Loss: 0.057306
Epoch [915/1000] Loss: 0.057485
Epoch [916/1000] Loss: 0.057650
Epoch [917/1000] Loss: 0.057201
Epoch [918/1000] Loss: 0.057452
Epoch [919/1000] Loss: 0.057012
Epoch [920/1000] Loss: 0.057456
Epoch [921/1000] Loss: 0.057295
Epoch [922/1000] Loss: 0.057086
Epoch [923/1000] Loss: 0.057267
Epoch [924/1000] Loss: 0.057441
Epoch [925/1000] Loss: 0.057409
Epoch [926/1000] Loss: 0.057325
Epoch [927/1000] Loss: 0.057091
Epoch [928/1000] Loss: 0.057431
