Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [904/1100] Loss: 0.089644
Epoch [905/1100] Loss: 0.089757
Epoch [906/1100] Loss: 0.089691
Epoch [907/1100] Loss: 0.089713
Epoch [908/1100] Loss: 0.089777
Epoch [909/1100] Loss: 0.089664
Epoch [910/1100] Loss: 0.089576
Epoch [911/1100] Loss: 0.089935
Epoch [912/1100] Loss: 0.089826
Epoch [913/1100] Loss: 0.089506
Epoch [914/1100] Loss: 0.089681
Epoch [915/1100] Loss: 0.089552
Epoch [916/1100] Loss: 0.089882
Epoch [917/1100] Loss: 0.089613
Epoch [918/1100] Loss: 0.089570
Epoch [919/1100] Loss: 0.089957
Epoch [920/1100] Loss: 0.089494
Epoch [921/1100] Loss: 0.089301
Epoch [922/1100] Loss: 0.089475
Epoch [923/1100] Loss: 0.090024
Epoch [924/1100] Loss: 0.089673
Epoch [925/1100] Loss: 0.089595
Epoch [926/1100] Loss: 0.089951
Epoch [927/1100] Loss: 0.089788
Epoch [928/1100] Loss: 0.089585
Epoch [929/1100] Loss: 0.089875
Epoch [930/1100] Loss: 0.089784
Epoch [931/1100] Loss: 0.089792
Epoch [932/1100] Loss: 0.089620
Epoch [933/1100] Loss: 0.089565
Epoch [934/1100] Loss: 0.089390
Epoch [935/1100] Loss: 0.089918
Epoch [936/1100] Loss: 0.089507
Epoch [937/1100] Loss: 0.089772
Epoch [938/1100] Loss: 0.089743
Epoch [939/1100] Loss: 0.089859
Epoch [940/1100] Loss: 0.089438
Epoch [941/1100] Loss: 0.089667
Epoch [942/1100] Loss: 0.089830
Epoch [943/1100] Loss: 0.089366
Epoch [944/1100] Loss: 0.089312
Epoch [945/1100] Loss: 0.089419
Epoch [946/1100] Loss: 0.089672
Epoch [947/1100] Loss: 0.089433
Epoch [948/1100] Loss: 0.089562
Epoch [949/1100] Loss: 0.089609
Epoch [950/1100] Loss: 0.089631 | Val PSNR: 24.7481
  New best model saved (PSNR: 24.7481)
Epoch [951/1100] Loss: 0.089468
Epoch [952/1100] Loss: 0.089632
Epoch [953/1100] Loss: 0.089681
Epoch [954/1100] Loss: 0.089597
Epoch [955/1100] Loss: 0.089250
Epoch [956/1100] Loss: 0.089532
Epoch [957/1100] Loss: 0.089670
Epoch [958/1100] Loss: 0.089380
Epoch [959/1100] Loss: 0.089207
Epoch [960/1100] Loss: 0.089712
Epoch [961/1100] Loss: 0.089301
Epoch [962/1100] Loss: 0.089414
Epoch [963/1100] Loss: 0.089658
Epoch [964/1100] Loss: 0.089820
Epoch [965/1100] Loss: 0.089603
Epoch [966/1100] Loss: 0.089489
Epoch [967/1100] Loss: 0.089462
Epoch [968/1100] Loss: 0.089436
Epoch [969/1100] Loss: 0.089315
Epoch [970/1100] Loss: 0.089807
Epoch [971/1100] Loss: 0.089756
Epoch [972/1100] Loss: 0.089597
Epoch [973/1100] Loss: 0.089398
Epoch [974/1100] Loss: 0.089445
Epoch [975/1100] Loss: 0.089732
Epoch [976/1100] Loss: 0.089520
Epoch [977/1100] Loss: 0.089563
Epoch [978/1100] Loss: 0.089687
Epoch [979/1100] Loss: 0.089515
Epoch [980/1100] Loss: 0.089778
Epoch [981/1100] Loss: 0.089425
Epoch [982/1100] Loss: 0.089515
Epoch [983/1100] Loss: 0.089208
Epoch [984/1100] Loss: 0.089276
Epoch [985/1100] Loss: 0.089750
Epoch [986/1100] Loss: 0.089502
Epoch [987/1100] Loss: 0.090065
Epoch [988/1100] Loss: 0.089330
Epoch [989/1100] Loss: 0.089592
Epoch [990/1100] Loss: 0.089298
Epoch [991/1100] Loss: 0.089626
Epoch [992/1100] Loss: 0.089503
Epoch [993/1100] Loss: 0.089449
Epoch [994/1100] Loss: 0.089951
Epoch [995/1100] Loss: 0.089286
Epoch [996/1100] Loss: 0.089418
Epoch [997/1100] Loss: 0.090056
Epoch [998/1100] Loss: 0.089499
Epoch [999/1100] Loss: 0.089423
Epoch [1000/1100] Loss: 0.089663 | Val PSNR: 24.6853
Epoch [1001/1100] Loss: 0.089568
Epoch [1002/1100] Loss: 0.089497
Epoch [1003/1100] Loss: 0.089439
Epoch [1004/1100] Loss: 0.089367
Epoch [1005/1100] Loss: 0.089549
Epoch [1006/1100] Loss: 0.089345
Epoch [1007/1100] Loss: 0.089429
Epoch [1008/1100] Loss: 0.089480
Epoch [1009/1100] Loss: 0.089207
Epoch [1010/1100] Loss: 0.089525
Epoch [1011/1100] Loss: 0.089103
Epoch [1012/1100] Loss: 0.089188
Epoch [1013/1100] Loss: 0.089340
Epoch [1014/1100] Loss: 0.089379
Epoch [1015/1100] Loss: 0.089196
Epoch [1016/1100] Loss: 0.089415
Epoch [1017/1100] Loss: 0.089375
Epoch [1018/1100] Loss: 0.089396
Epoch [1019/1100] Loss: 0.089388
Epoch [1020/1100] Loss: 0.089555
Epoch [1021/1100] Loss: 0.089162
Epoch [1022/1100] Loss: 0.089498
Epoch [1023/1100] Loss: 0.089244
Epoch [1024/1100] Loss: 0.089575
Epoch [1025/1100] Loss: 0.089470
Epoch [1026/1100] Loss: 0.089283
Epoch [1027/1100] Loss: 0.089332
Epoch [1028/1100] Loss: 0.089335
Epoch [1029/1100] Loss: 0.089152
Epoch [1030/1100] Loss: 0.089409
Epoch [1031/1100] Loss: 0.089057
Epoch [1032/1100] Loss: 0.089212
Epoch [1033/1100] Loss: 0.089533
Epoch [1034/1100] Loss: 0.089699
Epoch [1035/1100] Loss: 0.089013
Epoch [1036/1100] Loss: 0.089324
Epoch [1037/1100] Loss: 0.089471
Epoch [1038/1100] Loss: 0.089433
Epoch [1039/1100] Loss: 0.089477
Epoch [1040/1100] Loss: 0.089577
Epoch [1041/1100] Loss: 0.089328
Epoch [1042/1100] Loss: 0.089041
Epoch [1043/1100] Loss: 0.089355
Epoch [1044/1100] Loss: 0.089256
Epoch [1045/1100] Loss: 0.089128
Epoch [1046/1100] Loss: 0.089351
Epoch [1047/1100] Loss: 0.089458
Epoch [1048/1100] Loss: 0.089393
Epoch [1049/1100] Loss: 0.089349
Epoch [1050/1100] Loss: 0.089528 | Val PSNR: 24.7534
  New best model saved (PSNR: 24.7534)
Epoch [1051/1100] Loss: 0.089181
Epoch [1052/1100] Loss: 0.089113
Epoch [1053/1100] Loss: 0.089075
Epoch [1054/1100] Loss: 0.089351
Epoch [1055/1100] Loss: 0.089086
Epoch [1056/1100] Loss: 0.089385
Epoch [1057/1100] Loss: 0.089218
Epoch [1058/1100] Loss: 0.089368
Epoch [1059/1100] Loss: 0.089050
Epoch [1060/1100] Loss: 0.089380
Epoch [1061/1100] Loss: 0.088780
Epoch [1062/1100] Loss: 0.089141
Epoch [1063/1100] Loss: 0.089057
Epoch [1064/1100] Loss: 0.089307
