Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [162/600] Loss: 0.022725
Epoch [163/600] Loss: 0.022060
Epoch [164/600] Loss: 0.021186
Epoch [165/600] Loss: 0.021443
Epoch [166/600] Loss: 0.021208
Epoch [167/600] Loss: 0.020604
Epoch [168/600] Loss: 0.020839
Epoch [169/600] Loss: 0.020874
Epoch [170/600] Loss: 0.020852
Epoch [171/600] Loss: 0.019870
Epoch [172/600] Loss: 0.021369
Epoch [173/600] Loss: 0.020411
Epoch [174/600] Loss: 0.020614
Epoch [175/600] Loss: 0.020661
Epoch [176/600] Loss: 0.021162
Epoch [177/600] Loss: 0.021451
Epoch [178/600] Loss: 0.020635
Epoch [179/600] Loss: 0.020421
Epoch [180/600] Loss: 0.021509
Epoch [181/600] Loss: 0.020675
Epoch [182/600] Loss: 0.021739
Epoch [183/600] Loss: 0.021056
Epoch [184/600] Loss: 0.020779
Epoch [185/600] Loss: 0.020674
Epoch [186/600] Loss: 0.020417
Epoch [187/600] Loss: 0.020736
Epoch [188/600] Loss: 0.020729
Epoch [189/600] Loss: 0.020253
Epoch [190/600] Loss: 0.020413
Epoch [191/600] Loss: 0.020865
Epoch [192/600] Loss: 0.021183
Epoch [193/600] Loss: 0.020885
Epoch [194/600] Loss: 0.022017
Epoch [195/600] Loss: 0.021234
Epoch [196/600] Loss: 0.021039
Epoch [197/600] Loss: 0.020475
Epoch [198/600] Loss: 0.021440
Epoch [199/600] Loss: 0.021032
Epoch [200/600] Loss: 0.021054 | Val PSNR: 30.9020
Epoch [201/600] Loss: 0.020304
Epoch [202/600] Loss: 0.020264
Epoch [203/600] Loss: 0.020022
Epoch [204/600] Loss: 0.020309
Epoch [205/600] Loss: 0.020781
Epoch [206/600] Loss: 0.020349
Epoch [207/600] Loss: 0.020901
Epoch [208/600] Loss: 0.020145
Epoch [209/600] Loss: 0.020535
Epoch [210/600] Loss: 0.021170
Epoch [211/600] Loss: 0.020493
Epoch [212/600] Loss: 0.020369
Epoch [213/600] Loss: 0.020384
Epoch [214/600] Loss: 0.020864
Epoch [215/600] Loss: 0.020267
Epoch [216/600] Loss: 0.020804
Epoch [217/600] Loss: 0.020596
Epoch [218/600] Loss: 0.020404
Epoch [219/600] Loss: 0.020370
Epoch [220/600] Loss: 0.020606
Epoch [221/600] Loss: 0.021280
Epoch [222/600] Loss: 0.020239
Epoch [223/600] Loss: 0.020957
Epoch [224/600] Loss: 0.020360
Epoch [225/600] Loss: 0.020015
Epoch [226/600] Loss: 0.020110
Epoch [227/600] Loss: 0.020024
Epoch [228/600] Loss: 0.020156
Epoch [229/600] Loss: 0.020519
Epoch [230/600] Loss: 0.020568
Epoch [231/600] Loss: 0.020562
Epoch [232/600] Loss: 0.020272
Epoch [233/600] Loss: 0.019853
Epoch [234/600] Loss: 0.020371
Epoch [235/600] Loss: 0.020222
Epoch [236/600] Loss: 0.020209
Epoch [237/600] Loss: 0.020392
Epoch [238/600] Loss: 0.020328
Epoch [239/600] Loss: 0.020739
Epoch [240/600] Loss: 0.019945
Epoch [241/600] Loss: 0.019902
Epoch [242/600] Loss: 0.020049
Epoch [243/600] Loss: 0.019727
Epoch [244/600] Loss: 0.020715
Epoch [245/600] Loss: 0.020295
Epoch [246/600] Loss: 0.020170
Epoch [247/600] Loss: 0.020650
Epoch [248/600] Loss: 0.019450
Epoch [249/600] Loss: 0.020243
Epoch [250/600] Loss: 0.020490 | Val PSNR: 31.6352
  New best model saved (PSNR: 31.6352)
Epoch [251/600] Loss: 0.019816
Epoch [252/600] Loss: 0.020767
Epoch [253/600] Loss: 0.020520
Epoch [254/600] Loss: 0.020891
Epoch [255/600] Loss: 0.019974
Epoch [256/600] Loss: 0.020330
Epoch [257/600] Loss: 0.020704
Epoch [258/600] Loss: 0.020908
Epoch [259/600] Loss: 0.020537
Epoch [260/600] Loss: 0.020507
Epoch [261/600] Loss: 0.020340
Epoch [262/600] Loss: 0.020318
Epoch [263/600] Loss: 0.020051
Epoch [264/600] Loss: 0.020875
Epoch [265/600] Loss: 0.020008
Epoch [266/600] Loss: 0.020375
Epoch [267/600] Loss: 0.020572
Epoch [268/600] Loss: 0.020330
Epoch [269/600] Loss: 0.019986
Epoch [270/600] Loss: 0.020280
Epoch [271/600] Loss: 0.020000
Epoch [272/600] Loss: 0.020634
Epoch [273/600] Loss: 0.021201
Epoch [274/600] Loss: 0.020433
Epoch [275/600] Loss: 0.020820
Epoch [276/600] Loss: 0.020479
Epoch [277/600] Loss: 0.020775
Epoch [278/600] Loss: 0.020071
Epoch [279/600] Loss: 0.020544
Epoch [280/600] Loss: 0.020488
Epoch [281/600] Loss: 0.020618
Epoch [282/600] Loss: 0.020740
Epoch [283/600] Loss: 0.019911
Epoch [284/600] Loss: 0.020603
Epoch [285/600] Loss: 0.019650
Epoch [286/600] Loss: 0.020535
Epoch [287/600] Loss: 0.020295
Epoch [288/600] Loss: 0.020447
Epoch [289/600] Loss: 0.020628
Epoch [290/600] Loss: 0.019873
Epoch [291/600] Loss: 0.020239
Epoch [292/600] Loss: 0.019562
Epoch [293/600] Loss: 0.020814
Epoch [294/600] Loss: 0.020816
Epoch [295/600] Loss: 0.020047
Epoch [296/600] Loss: 0.020415
Epoch [297/600] Loss: 0.020564
Epoch [298/600] Loss: 0.020203
Epoch [299/600] Loss: 0.020503
Epoch [300/600] Loss: 0.020248 | Val PSNR: 31.4241
Epoch [301/600] Loss: 0.020888
Epoch [302/600] Loss: 0.020598
Epoch [303/600] Loss: 0.021168
Epoch [304/600] Loss: 0.019728
Epoch [305/600] Loss: 0.020095
Epoch [306/600] Loss: 0.019891
Epoch [307/600] Loss: 0.020370
Epoch [308/600] Loss: 0.020469
Epoch [309/600] Loss: 0.020795
Epoch [310/600] Loss: 0.020095
Epoch [311/600] Loss: 0.020359
Epoch [312/600] Loss: 0.020681
Epoch [313/600] Loss: 0.020639
Epoch [314/600] Loss: 0.020470
Epoch [315/600] Loss: 0.020512
Epoch [316/600] Loss: 0.020006
Epoch [317/600] Loss: 0.020718
Epoch [318/600] Loss: 0.020241
Epoch [319/600] Loss: 0.019789
Epoch [320/600] Loss: 0.021038
Epoch [321/600] Loss: 0.020105
Epoch [322/600] Loss: 0.020962
Epoch [323/600] Loss: 0.020043
Epoch [324/600] Loss: 0.019994
Epoch [325/600] Loss: 0.019900
Epoch [326/600] Loss: 0.020190
Epoch [327/600] Loss: 0.019891
Epoch [328/600] Loss: 0.020069
Epoch [329/600] Loss: 0.019791
Epoch [330/600] Loss: 0.021226
Epoch [331/600] Loss: 0.020694
Epoch [332/600] Loss: 0.020869
Epoch [333/600] Loss: 0.020566
Epoch [334/600] Loss: 0.019875
Epoch [335/600] Loss: 0.020006
Epoch [336/600] Loss: 0.020311
Epoch [337/600] Loss: 0.020389
Epoch [338/600] Loss: 0.020635
Epoch [339/600] Loss: 0.020685
Epoch [340/600] Loss: 0.020793
Epoch [341/600] Loss: 0.021033
Epoch [342/600] Loss: 0.020085
Epoch [343/600] Loss: 0.020236
Epoch [344/600] Loss: 0.020311
Epoch [345/600] Loss: 0.020108
Epoch [346/600] Loss: 0.020655
Epoch [347/600] Loss: 0.020437
Epoch [348/600] Loss: 0.020309
Epoch [349/600] Loss: 0.020420
Epoch [350/600] Loss: 0.019977 | Val PSNR: 31.6652
  New best model saved (PSNR: 31.6652)
Epoch [351/600] Loss: 0.019823
Epoch [352/600] Loss: 0.020138
Epoch [353/600] Loss: 0.020102
Epoch [354/600] Loss: 0.020842
Epoch [355/600] Loss: 0.021167
Epoch [356/600] Loss: 0.020661
Epoch [357/600] Loss: 0.021001
Epoch [358/600] Loss: 0.021348
Epoch [359/600] Loss: 0.020549
Epoch [360/600] Loss: 0.020174
Epoch [361/600] Loss: 0.020232
Epoch [362/600] Loss: 0.020518
Epoch [363/600] Loss: 0.020547
Epoch [364/600] Loss: 0.020068
Epoch [365/600] Loss: 0.020064
Epoch [366/600] Loss: 0.020000
Epoch [367/600] Loss: 0.020829
Epoch [368/600] Loss: 0.020835
Epoch [369/600] Loss: 0.019654
Epoch [370/600] Loss: 0.019857
Epoch [371/600] Loss: 0.020161
Epoch [372/600] Loss: 0.019703
Epoch [373/600] Loss: 0.020100
Epoch [374/600] Loss: 0.020199
Epoch [375/600] Loss: 0.019703
Epoch [376/600] Loss: 0.020153
Epoch [377/600] Loss: 0.019932
Epoch [378/600] Loss: 0.020306
Epoch [379/600] Loss: 0.020375
Epoch [380/600] Loss: 0.020491
Epoch [381/600] Loss: 0.020652
Epoch [382/600] Loss: 0.021053
Epoch [383/600] Loss: 0.020790
Epoch [384/600] Loss: 0.019753
Epoch [385/600] Loss: 0.020243
Epoch [386/600] Loss: 0.019498
Epoch [387/600] Loss: 0.020108
Epoch [388/600] Loss: 0.021036
Epoch [389/600] Loss: 0.019708
Epoch [390/600] Loss: 0.020167
Epoch [391/600] Loss: 0.020743
Epoch [392/600] Loss: 0.019727
Epoch [393/600] Loss: 0.019424
Epoch [394/600] Loss: 0.019268
Epoch [395/600] Loss: 0.019882
Epoch [396/600] Loss: 0.020034
Epoch [397/600] Loss: 0.020208
Epoch [398/600] Loss: 0.020980
Epoch [399/600] Loss: 0.020275
Epoch [400/600] Loss: 0.020512 | Val PSNR: 31.6775
  New best model saved (PSNR: 31.6775)
Epoch [401/600] Loss: 0.020204
Epoch [402/600] Loss: 0.020228
Epoch [403/600] Loss: 0.019787
Epoch [404/600] Loss: 0.019849
Epoch [405/600] Loss: 0.019784
Epoch [406/600] Loss: 0.019355
Epoch [407/600] Loss: 0.020393
Epoch [408/600] Loss: 0.019887
Epoch [409/600] Loss: 0.019799
Epoch [410/600] Loss: 0.019625
Epoch [411/600] Loss: 0.019580
Epoch [412/600] Loss: 0.020750
Epoch [413/600] Loss: 0.020428
Epoch [414/600] Loss: 0.020261
Epoch [415/600] Loss: 0.019904
Epoch [416/600] Loss: 0.019585
Epoch [417/600] Loss: 0.020116
Epoch [418/600] Loss: 0.020529
Epoch [419/600] Loss: 0.019956
Epoch [420/600] Loss: 0.020398
Epoch [421/600] Loss: 0.020281
Epoch [422/600] Loss: 0.019755
Epoch [423/600] Loss: 0.019198
Epoch [424/600] Loss: 0.019885
Epoch [425/600] Loss: 0.020288
Epoch [426/600] Loss: 0.020327
Epoch [427/600] Loss: 0.020427
Epoch [428/600] Loss: 0.020434
Epoch [429/600] Loss: 0.020173
Epoch [430/600] Loss: 0.020085
Epoch [431/600] Loss: 0.019649
Epoch [432/600] Loss: 0.020415
Epoch [433/600] Loss: 0.019344
Epoch [434/600] Loss: 0.019565
Epoch [435/600] Loss: 0.019897
Epoch [436/600] Loss: 0.020080
Epoch [437/600] Loss: 0.020110
Epoch [438/600] Loss: 0.019909
Epoch [439/600] Loss: 0.019928
Epoch [440/600] Loss: 0.020551
Epoch [441/600] Loss: 0.019991
Epoch [442/600] Loss: 0.020832
Epoch [443/600] Loss: 0.019881
Epoch [444/600] Loss: 0.019622
Epoch [445/600] Loss: 0.019727
Epoch [446/600] Loss: 0.020318
Epoch [447/600] Loss: 0.020104
Epoch [448/600] Loss: 0.019994
Epoch [449/600] Loss: 0.020275
Epoch [450/600] Loss: 0.019573 | Val PSNR: 31.6006
Epoch [451/600] Loss: 0.020525
Epoch [452/600] Loss: 0.021578
Epoch [453/600] Loss: 0.020283
Epoch [454/600] Loss: 0.020613
Epoch [455/600] Loss: 0.019749
Epoch [456/600] Loss: 0.020157
Epoch [457/600] Loss: 0.020906
Epoch [458/600] Loss: 0.019530
Epoch [459/600] Loss: 0.019910
Epoch [460/600] Loss: 0.020230
Epoch [461/600] Loss: 0.020166
Epoch [462/600] Loss: 0.019999
Epoch [463/600] Loss: 0.020023
Epoch [464/600] Loss: 0.020407
Epoch [465/600] Loss: 0.020127
Epoch [466/600] Loss: 0.020002
Epoch [467/600] Loss: 0.019692
Epoch [468/600] Loss: 0.020597
Epoch [469/600] Loss: 0.020904
Epoch [470/600] Loss: 0.019871
Epoch [471/600] Loss: 0.020303
Epoch [472/600] Loss: 0.019658
Epoch [473/600] Loss: 0.020051
Epoch [474/600] Loss: 0.019815
Epoch [475/600] Loss: 0.020455
Epoch [476/600] Loss: 0.020031
Epoch [477/600] Loss: 0.019895
Epoch [478/600] Loss: 0.020760
Epoch [479/600] Loss: 0.019863
Epoch [480/600] Loss: 0.020414
Epoch [481/600] Loss: 0.019613
Epoch [482/600] Loss: 0.021113
Epoch [483/600] Loss: 0.020371
Epoch [484/600] Loss: 0.020344
Epoch [485/600] Loss: 0.020170
Epoch [486/600] Loss: 0.020078
Epoch [487/600] Loss: 0.019887
Epoch [488/600] Loss: 0.020014
Epoch [489/600] Loss: 0.020957
Epoch [490/600] Loss: 0.020640
Epoch [491/600] Loss: 0.019891
Epoch [492/600] Loss: 0.020163
Epoch [493/600] Loss: 0.020350
Epoch [494/600] Loss: 0.020312
Epoch [495/600] Loss: 0.019931
Epoch [496/600] Loss: 0.019817
Epoch [497/600] Loss: 0.020713
Epoch [498/600] Loss: 0.020329
Epoch [499/600] Loss: 0.020015
Epoch [500/600] Loss: 0.020399 | Val PSNR: 31.7068
  New best model saved (PSNR: 31.7068)
Epoch [501/600] Loss: 0.019739
Epoch [502/600] Loss: 0.020017
Epoch [503/600] Loss: 0.019245
Epoch [504/600] Loss: 0.019823
Epoch [505/600] Loss: 0.019915
Epoch [506/600] Loss: 0.020131
Epoch [507/600] Loss: 0.019791
Epoch [508/600] Loss: 0.020429
Epoch [509/600] Loss: 0.020635
Epoch [510/600] Loss: 0.020089
Epoch [511/600] Loss: 0.019909
Epoch [512/600] Loss: 0.020297
Epoch [513/600] Loss: 0.020432
Epoch [514/600] Loss: 0.020266
Epoch [515/600] Loss: 0.019296
Epoch [516/600] Loss: 0.020541
Epoch [517/600] Loss: 0.020230
