Using device: cuda, AMP: True
Loaded pretrained EdgeSR from ./checkpoints/edgesr_standard_best.pt
Model: edgesr_pruned, Parameters: 1,435,907
Epoch [1/200] Loss: 0.870622
Epoch [2/200] Loss: 0.016940
Epoch [3/200] Loss: 0.016105
Epoch [4/200] Loss: 0.015743
Epoch [5/200] Loss: 0.015436
Epoch [6/200] Loss: 0.015211
Epoch [7/200] Loss: 0.015011
Epoch [8/200] Loss: 0.014836
Epoch [9/200] Loss: 0.014689
Epoch [10/200] Loss: 0.014560
Epoch [11/200] Loss: 0.014442
Epoch [12/200] Loss: 0.014345
Epoch [13/200] Loss: 0.014260
Epoch [14/200] Loss: 0.014188
Epoch [15/200] Loss: 0.014120
Epoch [16/200] Loss: 0.014052
Epoch [17/200] Loss: 0.013990
Epoch [18/200] Loss: 0.013919
Epoch [19/200] Loss: 0.013853
Epoch [20/200] Loss: 0.013781
Epoch [21/200] Loss: 0.013711
Epoch [22/200] Loss: 0.013648
Epoch [23/200] Loss: 0.013597
Epoch [24/200] Loss: 0.013549
Epoch [25/200] Loss: 0.013505
Epoch [26/200] Loss: 0.013466
Epoch [27/200] Loss: 0.013433
Epoch [28/200] Loss: 0.013401
Epoch [29/200] Loss: 0.013375
Epoch [30/200] Loss: 0.013352
Epoch [31/200] Loss: 0.013328
Epoch [32/200] Loss: 0.013307
Epoch [33/200] Loss: 0.013288
Epoch [34/200] Loss: 0.013266
Epoch [35/200] Loss: 0.013249
Epoch [36/200] Loss: 0.013226
Epoch [37/200] Loss: 0.013206
Epoch [38/200] Loss: 0.013191
Epoch [39/200] Loss: 0.013174
Epoch [40/200] Loss: 0.013158
Epoch [41/200] Loss: 0.013146
Epoch [42/200] Loss: 0.013135
Epoch [43/200] Loss: 0.013126
Epoch [44/200] Loss: 0.013116
Epoch [45/200] Loss: 0.013102
Epoch [46/200] Loss: 0.013090
Epoch [47/200] Loss: 0.013087
Epoch [48/200] Loss: 0.013079
Epoch [49/200] Loss: 0.013066
Epoch [50/200] Loss: 0.013062 | Val PSNR: 37.4274
  New best model saved (PSNR: 37.4274)
Epoch [51/200] Loss: 0.013026
Epoch [52/200] Loss: 0.013021
Epoch [53/200] Loss: 0.013017
Epoch [54/200] Loss: 0.013014
Epoch [55/200] Loss: 0.013010
Epoch [56/200] Loss: 0.013004
Epoch [57/200] Loss: 0.013003
Epoch [58/200] Loss: 0.012999
Epoch [59/200] Loss: 0.012998
Epoch [60/200] Loss: 0.012995
Epoch [61/200] Loss: 0.012992
Epoch [62/200] Loss: 0.012989
Epoch [63/200] Loss: 0.012987
Epoch [64/200] Loss: 0.012983
Epoch [65/200] Loss: 0.012982
Epoch [66/200] Loss: 0.012979
Epoch [67/200] Loss: 0.012977
