Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [162/600] Loss: 0.023063
Epoch [163/600] Loss: 0.023134
Epoch [164/600] Loss: 0.023082
Epoch [165/600] Loss: 0.023108
Epoch [166/600] Loss: 0.023109
Epoch [167/600] Loss: 0.023160
Epoch [168/600] Loss: 0.023137
Epoch [169/600] Loss: 0.023192
Epoch [170/600] Loss: 0.023142
Epoch [171/600] Loss: 0.023182
Epoch [172/600] Loss: 0.023101
Epoch [173/600] Loss: 0.023209
Epoch [174/600] Loss: 0.023046
Epoch [175/600] Loss: 0.023166
Epoch [176/600] Loss: 0.023035
Epoch [177/600] Loss: 0.023067
Epoch [178/600] Loss: 0.023086
Epoch [179/600] Loss: 0.023033
Epoch [180/600] Loss: 0.023150
Epoch [181/600] Loss: 0.023046
Epoch [182/600] Loss: 0.023070
Epoch [183/600] Loss: 0.023141
Epoch [184/600] Loss: 0.023131
Epoch [185/600] Loss: 0.023022
Epoch [186/600] Loss: 0.023097
Epoch [187/600] Loss: 0.023105
Epoch [188/600] Loss: 0.023010
Epoch [189/600] Loss: 0.023064
Epoch [190/600] Loss: 0.023148
Epoch [191/600] Loss: 0.023106
Epoch [192/600] Loss: 0.023098
Epoch [193/600] Loss: 0.023077
Epoch [194/600] Loss: 0.023147
Epoch [195/600] Loss: 0.023061
Epoch [196/600] Loss: 0.023058
Epoch [197/600] Loss: 0.023001
Epoch [198/600] Loss: 0.023083
Epoch [199/600] Loss: 0.023092
Epoch [200/600] Loss: 0.023096 | Val PSNR: 31.5520
  New best model saved (PSNR: 31.5520)
Epoch [201/600] Loss: 0.022852
Epoch [202/600] Loss: 0.022776
Epoch [203/600] Loss: 0.022870
Epoch [204/600] Loss: 0.022880
Epoch [205/600] Loss: 0.022768
Epoch [206/600] Loss: 0.022779
Epoch [207/600] Loss: 0.022730
Epoch [208/600] Loss: 0.022790
Epoch [209/600] Loss: 0.022742
Epoch [210/600] Loss: 0.022837
Epoch [211/600] Loss: 0.022791
Epoch [212/600] Loss: 0.022771
Epoch [213/600] Loss: 0.022774
Epoch [214/600] Loss: 0.022727
Epoch [215/600] Loss: 0.022759
Epoch [216/600] Loss: 0.022760
Epoch [217/600] Loss: 0.022718
Epoch [218/600] Loss: 0.022685
Epoch [219/600] Loss: 0.022720
Epoch [220/600] Loss: 0.022687
Epoch [221/600] Loss: 0.022743
Epoch [222/600] Loss: 0.022719
Epoch [223/600] Loss: 0.022691
Epoch [224/600] Loss: 0.022706
Epoch [225/600] Loss: 0.022713
Epoch [226/600] Loss: 0.022711
Epoch [227/600] Loss: 0.022700
Epoch [228/600] Loss: 0.022735
Epoch [229/600] Loss: 0.022813
Epoch [230/600] Loss: 0.022700
Epoch [231/600] Loss: 0.022718
Epoch [232/600] Loss: 0.022684
Epoch [233/600] Loss: 0.022781
Epoch [234/600] Loss: 0.022736
Epoch [235/600] Loss: 0.022716
Epoch [236/600] Loss: 0.022778
Epoch [237/600] Loss: 0.022673
Epoch [238/600] Loss: 0.022663
Epoch [239/600] Loss: 0.022791
Epoch [240/600] Loss: 0.022702
Epoch [241/600] Loss: 0.022703
Epoch [242/600] Loss: 0.022770
Epoch [243/600] Loss: 0.022787
Epoch [244/600] Loss: 0.022708
Epoch [245/600] Loss: 0.022760
Epoch [246/600] Loss: 0.022719
Epoch [247/600] Loss: 0.022643
Epoch [248/600] Loss: 0.022739
Epoch [249/600] Loss: 0.022743
Epoch [250/600] Loss: 0.022760 | Val PSNR: 31.6915
  New best model saved (PSNR: 31.6915)
Epoch [251/600] Loss: 0.022749
Epoch [252/600] Loss: 0.022753
Epoch [253/600] Loss: 0.022728
Epoch [254/600] Loss: 0.022758
Epoch [255/600] Loss: 0.022772
Epoch [256/600] Loss: 0.022677
