Using device: cuda, AMP: True
Model: edgesr_nolcap, Parameters: 1,435,907
Epoch [162/600] Loss: 0.012762
Epoch [163/600] Loss: 0.012762
Epoch [164/600] Loss: 0.012765
Epoch [165/600] Loss: 0.012763
Epoch [166/600] Loss: 0.012760
Epoch [167/600] Loss: 0.012765
Epoch [168/600] Loss: 0.012760
Epoch [169/600] Loss: 0.012759
Epoch [170/600] Loss: 0.012750
Epoch [171/600] Loss: 0.012760
Epoch [172/600] Loss: 0.012751
Epoch [173/600] Loss: 0.012755
Epoch [174/600] Loss: 0.012746
Epoch [175/600] Loss: 0.012754
Epoch [176/600] Loss: 0.012747
Epoch [177/600] Loss: 0.012741
Epoch [178/600] Loss: 0.012738
Epoch [179/600] Loss: 0.012744
Epoch [180/600] Loss: 0.012754
Epoch [181/600] Loss: 0.012741
Epoch [182/600] Loss: 0.012736
Epoch [183/600] Loss: 0.012738
Epoch [184/600] Loss: 0.012735
Epoch [185/600] Loss: 0.012744
Epoch [186/600] Loss: 0.012726
Epoch [187/600] Loss: 0.012737
Epoch [188/600] Loss: 0.012728
Epoch [189/600] Loss: 0.012729
Epoch [190/600] Loss: 0.012735
Epoch [191/600] Loss: 0.012733
Epoch [192/600] Loss: 0.012730
Epoch [193/600] Loss: 0.012735
Epoch [194/600] Loss: 0.012730
Epoch [195/600] Loss: 0.012732
Epoch [196/600] Loss: 0.012728
Epoch [197/600] Loss: 0.012729
Epoch [198/600] Loss: 0.012730
Epoch [199/600] Loss: 0.012715
Epoch [200/600] Loss: 0.012733 | Val PSNR: 37.3082
Epoch [201/600] Loss: 0.012634
Epoch [202/600] Loss: 0.012627
Epoch [203/600] Loss: 0.012626
Epoch [204/600] Loss: 0.012622
Epoch [205/600] Loss: 0.012626
Epoch [206/600] Loss: 0.012622
Epoch [207/600] Loss: 0.012624
Epoch [208/600] Loss: 0.012616
Epoch [209/600] Loss: 0.012619
Epoch [210/600] Loss: 0.012620
Epoch [211/600] Loss: 0.012618
Epoch [212/600] Loss: 0.012617
Epoch [213/600] Loss: 0.012618
Epoch [214/600] Loss: 0.012615
Epoch [215/600] Loss: 0.012622
Epoch [216/600] Loss: 0.012615
Epoch [217/600] Loss: 0.012614
Epoch [218/600] Loss: 0.012617
Epoch [219/600] Loss: 0.012614
Epoch [220/600] Loss: 0.012613
Epoch [221/600] Loss: 0.012610
Epoch [222/600] Loss: 0.012613
Epoch [223/600] Loss: 0.012610
Epoch [224/600] Loss: 0.012615
Epoch [225/600] Loss: 0.012611
Epoch [226/600] Loss: 0.012612
Epoch [227/600] Loss: 0.012610
Epoch [228/600] Loss: 0.012610
Epoch [229/600] Loss: 0.012615
Epoch [230/600] Loss: 0.012610
Epoch [231/600] Loss: 0.012607
Epoch [232/600] Loss: 0.012608
Epoch [233/600] Loss: 0.012611
Epoch [234/600] Loss: 0.012609
Epoch [235/600] Loss: 0.012603
Epoch [236/600] Loss: 0.012605
Epoch [237/600] Loss: 0.012606
Epoch [238/600] Loss: 0.012604
Epoch [239/600] Loss: 0.012606
Epoch [240/600] Loss: 0.012602
Epoch [241/600] Loss: 0.012608
Epoch [242/600] Loss: 0.012605
Epoch [243/600] Loss: 0.012605
Epoch [244/600] Loss: 0.012606
Epoch [245/600] Loss: 0.012603
Epoch [246/600] Loss: 0.012603
Epoch [247/600] Loss: 0.012606
Epoch [248/600] Loss: 0.012603
Epoch [249/600] Loss: 0.012599
Epoch [250/600] Loss: 0.012598 | Val PSNR: 37.5669
Epoch [251/600] Loss: 0.012603
Epoch [252/600] Loss: 0.012601
Epoch [253/600] Loss: 0.012606
Epoch [254/600] Loss: 0.012600
Epoch [255/600] Loss: 0.012599
Epoch [256/600] Loss: 0.012603
Epoch [257/600] Loss: 0.012603
Epoch [258/600] Loss: 0.012594
Epoch [259/600] Loss: 0.012598
Epoch [260/600] Loss: 0.012599
Epoch [261/600] Loss: 0.012600
Epoch [262/600] Loss: 0.012603
Epoch [263/600] Loss: 0.012593
Epoch [264/600] Loss: 0.012597
Epoch [265/600] Loss: 0.012599
Epoch [266/600] Loss: 0.012597
Epoch [267/600] Loss: 0.012599
Epoch [268/600] Loss: 0.012597
Epoch [269/600] Loss: 0.012595
Epoch [270/600] Loss: 0.012594
Epoch [271/600] Loss: 0.012599
Epoch [272/600] Loss: 0.012590
Epoch [273/600] Loss: 0.012598
Epoch [274/600] Loss: 0.012595
Epoch [275/600] Loss: 0.012595
Epoch [276/600] Loss: 0.012593
Epoch [277/600] Loss: 0.012598
Epoch [278/600] Loss: 0.012596
Epoch [279/600] Loss: 0.012595
Epoch [280/600] Loss: 0.012592
Epoch [281/600] Loss: 0.012595
Epoch [282/600] Loss: 0.012598
Epoch [283/600] Loss: 0.012594
Epoch [284/600] Loss: 0.012593
Epoch [285/600] Loss: 0.012590
Epoch [286/600] Loss: 0.012591
Epoch [287/600] Loss: 0.012589
Epoch [288/600] Loss: 0.012593
Epoch [289/600] Loss: 0.012592
Epoch [290/600] Loss: 0.012592
Epoch [291/600] Loss: 0.012590
Epoch [292/600] Loss: 0.012587
Epoch [293/600] Loss: 0.012591
Epoch [294/600] Loss: 0.012595
Epoch [295/600] Loss: 0.012593
Epoch [296/600] Loss: 0.012587
Epoch [297/600] Loss: 0.012589
Epoch [298/600] Loss: 0.012586
Epoch [299/600] Loss: 0.012591
Epoch [300/600] Loss: 0.012587 | Val PSNR: 37.7483
  New best model saved (PSNR: 37.7483)
Epoch [301/600] Loss: 0.012591
Epoch [302/600] Loss: 0.012586
Epoch [303/600] Loss: 0.012587
Epoch [304/600] Loss: 0.012586
Epoch [305/600] Loss: 0.012584
Epoch [306/600] Loss: 0.012585
Epoch [307/600] Loss: 0.012586
Epoch [308/600] Loss: 0.012588
Epoch [309/600] Loss: 0.012579
Epoch [310/600] Loss: 0.012585
Epoch [311/600] Loss: 0.012582
Epoch [312/600] Loss: 0.012588
Epoch [313/600] Loss: 0.012580
Epoch [314/600] Loss: 0.012584
Epoch [315/600] Loss: 0.012583
Epoch [316/600] Loss: 0.012584
Epoch [317/600] Loss: 0.012582
Epoch [318/600] Loss: 0.012583
Epoch [319/600] Loss: 0.012585
Epoch [320/600] Loss: 0.012583
Epoch [321/600] Loss: 0.012585
Epoch [322/600] Loss: 0.012581
Epoch [323/600] Loss: 0.012578
Epoch [324/600] Loss: 0.012580
Epoch [325/600] Loss: 0.012577
Epoch [326/600] Loss: 0.012580
Epoch [327/600] Loss: 0.012578
Epoch [328/600] Loss: 0.012581
Epoch [329/600] Loss: 0.012577
Epoch [330/600] Loss: 0.012580
Epoch [331/600] Loss: 0.012577
Epoch [332/600] Loss: 0.012581
Epoch [333/600] Loss: 0.012580
Epoch [334/600] Loss: 0.012579
Epoch [335/600] Loss: 0.012578
Epoch [336/600] Loss: 0.012579
Epoch [337/600] Loss: 0.012574
Epoch [338/600] Loss: 0.012576
Epoch [339/600] Loss: 0.012581
Epoch [340/600] Loss: 0.012578
Epoch [341/600] Loss: 0.012574
Epoch [342/600] Loss: 0.012576
Epoch [343/600] Loss: 0.012574
Epoch [344/600] Loss: 0.012571
Epoch [345/600] Loss: 0.012572
Epoch [346/600] Loss: 0.012574
Epoch [347/600] Loss: 0.012569
Epoch [348/600] Loss: 0.012575
Epoch [349/600] Loss: 0.012576
Epoch [350/600] Loss: 0.012574 | Val PSNR: 37.7545
  New best model saved (PSNR: 37.7545)
Epoch [351/600] Loss: 0.012584
Epoch [352/600] Loss: 0.012571
Epoch [353/600] Loss: 0.012569
Epoch [354/600] Loss: 0.012568
Epoch [355/600] Loss: 0.012575
Epoch [356/600] Loss: 0.012574
Epoch [357/600] Loss: 0.012575
Epoch [358/600] Loss: 0.012574
Epoch [359/600] Loss: 0.012572
Epoch [360/600] Loss: 0.012571
Epoch [361/600] Loss: 0.012567
Epoch [362/600] Loss: 0.012571
Epoch [363/600] Loss: 0.012567
Epoch [364/600] Loss: 0.012571
Epoch [365/600] Loss: 0.012573
Epoch [366/600] Loss: 0.012568
Epoch [367/600] Loss: 0.012574
Epoch [368/600] Loss: 0.012566
Epoch [369/600] Loss: 0.012564
Epoch [370/600] Loss: 0.012568
Epoch [371/600] Loss: 0.012569
Epoch [372/600] Loss: 0.012568
Epoch [373/600] Loss: 0.012571
Epoch [374/600] Loss: 0.012568
Epoch [375/600] Loss: 0.012566
Epoch [376/600] Loss: 0.012567
Epoch [377/600] Loss: 0.012569
Epoch [378/600] Loss: 0.012565
Epoch [379/600] Loss: 0.012562
Epoch [380/600] Loss: 0.012563
Epoch [381/600] Loss: 0.012566
Epoch [382/600] Loss: 0.012568
Epoch [383/600] Loss: 0.012569
Epoch [384/600] Loss: 0.012564
Epoch [385/600] Loss: 0.012565
Epoch [386/600] Loss: 0.012568
Epoch [387/600] Loss: 0.012564
Epoch [388/600] Loss: 0.012562
Epoch [389/600] Loss: 0.012564
Epoch [390/600] Loss: 0.012561
Epoch [391/600] Loss: 0.012564
Epoch [392/600] Loss: 0.012564
Epoch [393/600] Loss: 0.012560
Epoch [394/600] Loss: 0.012563
Epoch [395/600] Loss: 0.012566
Epoch [396/600] Loss: 0.012561
Epoch [397/600] Loss: 0.012564
Epoch [398/600] Loss: 0.012562
Epoch [399/600] Loss: 0.012566
Epoch [400/600] Loss: 0.012563 | Val PSNR: 37.7411
Epoch [401/600] Loss: 0.012516
Epoch [402/600] Loss: 0.012516
Epoch [403/600] Loss: 0.012512
Epoch [404/600] Loss: 0.012510
Epoch [405/600] Loss: 0.012509
Epoch [406/600] Loss: 0.012512
Epoch [407/600] Loss: 0.012510
Epoch [408/600] Loss: 0.012511
Epoch [409/600] Loss: 0.012509
Epoch [410/600] Loss: 0.012509
Epoch [411/600] Loss: 0.012509
Epoch [412/600] Loss: 0.012510
Epoch [413/600] Loss: 0.012511
Epoch [414/600] Loss: 0.012510
Epoch [415/600] Loss: 0.012510
Epoch [416/600] Loss: 0.012512
Epoch [417/600] Loss: 0.012510
Epoch [418/600] Loss: 0.012508
Epoch [419/600] Loss: 0.012509
Epoch [420/600] Loss: 0.012507
Epoch [421/600] Loss: 0.012510
Epoch [422/600] Loss: 0.012507
Epoch [423/600] Loss: 0.012512
Epoch [424/600] Loss: 0.012509
Epoch [425/600] Loss: 0.012507
Epoch [426/600] Loss: 0.012504
Epoch [427/600] Loss: 0.012506
Epoch [428/600] Loss: 0.012505
Epoch [429/600] Loss: 0.012507
Epoch [430/600] Loss: 0.012509
Epoch [431/600] Loss: 0.012506
Epoch [432/600] Loss: 0.012504
Epoch [433/600] Loss: 0.012505
Epoch [434/600] Loss: 0.012505
Epoch [435/600] Loss: 0.012505
Epoch [436/600] Loss: 0.012504
Epoch [437/600] Loss: 0.012506
Epoch [438/600] Loss: 0.012510
Epoch [439/600] Loss: 0.012505
Epoch [440/600] Loss: 0.012503
Epoch [441/600] Loss: 0.012506
Epoch [442/600] Loss: 0.012504
Epoch [443/600] Loss: 0.012504
Epoch [444/600] Loss: 0.012503
Epoch [445/600] Loss: 0.012503
Epoch [446/600] Loss: 0.012504
Epoch [447/600] Loss: 0.012503
Epoch [448/600] Loss: 0.012503
Epoch [449/600] Loss: 0.012499
Epoch [450/600] Loss: 0.012503 | Val PSNR: 37.7992
  New best model saved (PSNR: 37.7992)
Epoch [451/600] Loss: 0.012501
Epoch [452/600] Loss: 0.012503
Epoch [453/600] Loss: 0.012505
Epoch [454/600] Loss: 0.012503
Epoch [455/600] Loss: 0.012499
Epoch [456/600] Loss: 0.012503
Epoch [457/600] Loss: 0.012503
Epoch [458/600] Loss: 0.012499
Epoch [459/600] Loss: 0.012501
Epoch [460/600] Loss: 0.012501
Epoch [461/600] Loss: 0.012502
Epoch [462/600] Loss: 0.012500
Epoch [463/600] Loss: 0.012500
Epoch [464/600] Loss: 0.012500
Epoch [465/600] Loss: 0.012500
Epoch [466/600] Loss: 0.012498
Epoch [467/600] Loss: 0.012501
Epoch [468/600] Loss: 0.012497
Epoch [469/600] Loss: 0.012503
Epoch [470/600] Loss: 0.012501
Epoch [471/600] Loss: 0.012500
Epoch [472/600] Loss: 0.012498
Epoch [473/600] Loss: 0.012500
Epoch [474/600] Loss: 0.012498
