Using device: cuda, AMP: True
Model: baseline, Parameters: 1,369,859
Epoch [163/600] Loss: 0.012762
Epoch [164/600] Loss: 0.012765
Epoch [165/600] Loss: 0.012759
Epoch [166/600] Loss: 0.012774
Epoch [167/600] Loss: 0.012758
Epoch [168/600] Loss: 0.012775
Epoch [169/600] Loss: 0.012755
Epoch [170/600] Loss: 0.012750
Epoch [171/600] Loss: 0.012750
Epoch [172/600] Loss: 0.012770
Epoch [173/600] Loss: 0.012757
Epoch [174/600] Loss: 0.012759
Epoch [175/600] Loss: 0.012750
Epoch [176/600] Loss: 0.012752
Epoch [177/600] Loss: 0.012756
Epoch [178/600] Loss: 0.012750
Epoch [179/600] Loss: 0.012754
Epoch [180/600] Loss: 0.012754
Epoch [181/600] Loss: 0.012741
Epoch [182/600] Loss: 0.012751
Epoch [183/600] Loss: 0.012743
Epoch [184/600] Loss: 0.012745
Epoch [185/600] Loss: 0.012749
Epoch [186/600] Loss: 0.012740
Epoch [187/600] Loss: 0.012747
Epoch [188/600] Loss: 0.012746
Epoch [189/600] Loss: 0.012743
Epoch [190/600] Loss: 0.012746
Epoch [191/600] Loss: 0.012732
Epoch [192/600] Loss: 0.012741
Epoch [193/600] Loss: 0.012747
Epoch [194/600] Loss: 0.012741
Epoch [195/600] Loss: 0.012743
Epoch [196/600] Loss: 0.012732
Epoch [197/600] Loss: 0.012743
Epoch [198/600] Loss: 0.012725
Epoch [199/600] Loss: 0.012735
Epoch [200/600] Loss: 0.012740 | Val PSNR: 37.6599
  New best model saved (PSNR: 37.6599)
Epoch [201/600] Loss: 0.012633
Epoch [202/600] Loss: 0.012633
Epoch [203/600] Loss: 0.012637
Epoch [204/600] Loss: 0.012628
Epoch [205/600] Loss: 0.012626
Epoch [206/600] Loss: 0.012627
Epoch [207/600] Loss: 0.012629
Epoch [208/600] Loss: 0.012628
Epoch [209/600] Loss: 0.012628
Epoch [210/600] Loss: 0.012623
Epoch [211/600] Loss: 0.012624
Epoch [212/600] Loss: 0.012622
Epoch [213/600] Loss: 0.012624
Epoch [214/600] Loss: 0.012625
Epoch [215/600] Loss: 0.012623
Epoch [216/600] Loss: 0.012625
Epoch [217/600] Loss: 0.012618
Epoch [218/600] Loss: 0.012622
Epoch [219/600] Loss: 0.012619
Epoch [220/600] Loss: 0.012620
Epoch [221/600] Loss: 0.012622
Epoch [222/600] Loss: 0.012618
Epoch [223/600] Loss: 0.012616
Epoch [224/600] Loss: 0.012620
Epoch [225/600] Loss: 0.012622
Epoch [226/600] Loss: 0.012617
Epoch [227/600] Loss: 0.012620
Epoch [228/600] Loss: 0.012619
Epoch [229/600] Loss: 0.012614
Epoch [230/600] Loss: 0.012615
Epoch [231/600] Loss: 0.012616
Epoch [232/600] Loss: 0.012621
Epoch [233/600] Loss: 0.012616
Epoch [234/600] Loss: 0.012615
Epoch [235/600] Loss: 0.012620
Epoch [236/600] Loss: 0.012615
Epoch [237/600] Loss: 0.012614
Epoch [238/600] Loss: 0.012611
Epoch [239/600] Loss: 0.012611
Epoch [240/600] Loss: 0.012616
Epoch [241/600] Loss: 0.012615
Epoch [242/600] Loss: 0.012610
Epoch [243/600] Loss: 0.012611
Epoch [244/600] Loss: 0.012614
Epoch [245/600] Loss: 0.012606
Epoch [246/600] Loss: 0.012609
Epoch [247/600] Loss: 0.012612
Epoch [248/600] Loss: 0.012612
Epoch [249/600] Loss: 0.012613
Epoch [250/600] Loss: 0.012609 | Val PSNR: 37.7179
  New best model saved (PSNR: 37.7179)
Epoch [251/600] Loss: 0.012608
Epoch [252/600] Loss: 0.012612
Epoch [253/600] Loss: 0.012610
Epoch [254/600] Loss: 0.012607
Epoch [255/600] Loss: 0.012603
Epoch [256/600] Loss: 0.012612
Epoch [257/600] Loss: 0.012609
Epoch [258/600] Loss: 0.012609
Epoch [259/600] Loss: 0.012604
Epoch [260/600] Loss: 0.012604
Epoch [261/600] Loss: 0.012608
Epoch [262/600] Loss: 0.012610
Epoch [263/600] Loss: 0.012611
Epoch [264/600] Loss: 0.012604
Epoch [265/600] Loss: 0.012606
Epoch [266/600] Loss: 0.012605
Epoch [267/600] Loss: 0.012599
Epoch [268/600] Loss: 0.012605
Epoch [269/600] Loss: 0.012605
Epoch [270/600] Loss: 0.012608
Epoch [271/600] Loss: 0.012605
Epoch [272/600] Loss: 0.012601
Epoch [273/600] Loss: 0.012605
Epoch [274/600] Loss: 0.012604
Epoch [275/600] Loss: 0.012601
Epoch [276/600] Loss: 0.012600
Epoch [277/600] Loss: 0.012604
Epoch [278/600] Loss: 0.012599
Epoch [279/600] Loss: 0.012604
Epoch [280/600] Loss: 0.012601
Epoch [281/600] Loss: 0.012602
Epoch [282/600] Loss: 0.012597
Epoch [283/600] Loss: 0.012600
Epoch [284/600] Loss: 0.012598
Epoch [285/600] Loss: 0.012600
