Using device: cuda, AMP: True
Loaded pretrained EdgeSR from ./checkpoints/edgesr_standard_best.pt
Model: edgesr_pruned, Parameters: 1,435,907
Epoch [1/200] Loss: 0.388195
Epoch [2/200] Loss: 0.016325
Epoch [3/200] Loss: 0.015674
Epoch [4/200] Loss: 0.015189
Epoch [5/200] Loss: 0.014866
Epoch [6/200] Loss: 0.014621
Epoch [7/200] Loss: 0.014406
Epoch [8/200] Loss: 0.014191
Epoch [9/200] Loss: 0.013998
Epoch [10/200] Loss: 0.013833
Epoch [11/200] Loss: 0.013701
Epoch [12/200] Loss: 0.013607
Epoch [13/200] Loss: 0.013526
Epoch [14/200] Loss: 0.013465
Epoch [15/200] Loss: 0.013401
Epoch [16/200] Loss: 0.013352
Epoch [17/200] Loss: 0.013307
Epoch [18/200] Loss: 0.013273
Epoch [19/200] Loss: 0.013246
Epoch [20/200] Loss: 0.013219
Epoch [21/200] Loss: 0.013201
Epoch [22/200] Loss: 0.013180
Epoch [23/200] Loss: 0.013161
Epoch [24/200] Loss: 0.013144
Epoch [25/200] Loss: 0.013128
Epoch [26/200] Loss: 0.013113
Epoch [27/200] Loss: 0.013101
Epoch [28/200] Loss: 0.013087
Epoch [29/200] Loss: 0.013076
Epoch [30/200] Loss: 0.013068
Epoch [31/200] Loss: 0.013057
Epoch [32/200] Loss: 0.013050
Epoch [33/200] Loss: 0.013042
Epoch [34/200] Loss: 0.013032
Epoch [35/200] Loss: 0.013025
Epoch [36/200] Loss: 0.013020
Epoch [37/200] Loss: 0.013011
Epoch [38/200] Loss: 0.013007
Epoch [39/200] Loss: 0.012998
Epoch [40/200] Loss: 0.012995
Epoch [41/200] Loss: 0.012983
Epoch [42/200] Loss: 0.012977
Epoch [43/200] Loss: 0.012975
Epoch [44/200] Loss: 0.012967
Epoch [45/200] Loss: 0.012964
Epoch [46/200] Loss: 0.012959
Epoch [47/200] Loss: 0.012952
Epoch [48/200] Loss: 0.012950
Epoch [49/200] Loss: 0.012945
Epoch [50/200] Loss: 0.012942 | Val PSNR: 37.5084
  New best model saved (PSNR: 37.5084)
Epoch [51/200] Loss: 0.012911
Epoch [52/200] Loss: 0.012910
Epoch [53/200] Loss: 0.012906
Epoch [54/200] Loss: 0.012903
Epoch [55/200] Loss: 0.012902
Epoch [56/200] Loss: 0.012898
Epoch [57/200] Loss: 0.012896
Epoch [58/200] Loss: 0.012897
Epoch [59/200] Loss: 0.012895
Epoch [60/200] Loss: 0.012892
Epoch [61/200] Loss: 0.012891
Epoch [62/200] Loss: 0.012890
Epoch [63/200] Loss: 0.012891
Epoch [64/200] Loss: 0.012888
Epoch [65/200] Loss: 0.012887
Epoch [66/200] Loss: 0.012883
Epoch [67/200] Loss: 0.012883
Epoch [68/200] Loss: 0.012880
Epoch [69/200] Loss: 0.012881
Epoch [70/200] Loss: 0.012878
Epoch [71/200] Loss: 0.012877
Epoch [72/200] Loss: 0.012876
Epoch [73/200] Loss: 0.012874
Epoch [74/200] Loss: 0.012871
Epoch [75/200] Loss: 0.012873
Epoch [76/200] Loss: 0.012869
Epoch [77/200] Loss: 0.012866
Epoch [78/200] Loss: 0.012866
Epoch [79/200] Loss: 0.012866
Epoch [80/200] Loss: 0.012863
Epoch [81/200] Loss: 0.012862
Epoch [82/200] Loss: 0.012861
Epoch [83/200] Loss: 0.012861
Epoch [84/200] Loss: 0.012858
Epoch [85/200] Loss: 0.012858
Epoch [86/200] Loss: 0.012859
Epoch [87/200] Loss: 0.012853
Epoch [88/200] Loss: 0.012853
Epoch [89/200] Loss: 0.012853
Epoch [90/200] Loss: 0.012850
Epoch [91/200] Loss: 0.012849
Epoch [92/200] Loss: 0.012848
Epoch [93/200] Loss: 0.012846
Epoch [94/200] Loss: 0.012846
Epoch [95/200] Loss: 0.012847
Epoch [96/200] Loss: 0.012844
