Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [162/600] Loss: 0.010213
Epoch [163/600] Loss: 0.010078
Epoch [164/600] Loss: 0.010094
Epoch [165/600] Loss: 0.010072
Epoch [166/600] Loss: 0.010018
Epoch [167/600] Loss: 0.010028
Epoch [168/600] Loss: 0.010123
Epoch [169/600] Loss: 0.010125
Epoch [170/600] Loss: 0.010097
Epoch [171/600] Loss: 0.010052
Epoch [172/600] Loss: 0.009978
Epoch [173/600] Loss: 0.010096
Epoch [174/600] Loss: 0.009989
Epoch [175/600] Loss: 0.010017
Epoch [176/600] Loss: 0.010101
Epoch [177/600] Loss: 0.009981
Epoch [178/600] Loss: 0.009998
Epoch [179/600] Loss: 0.010067
Epoch [180/600] Loss: 0.010054
Epoch [181/600] Loss: 0.010013
Epoch [182/600] Loss: 0.010090
Epoch [183/600] Loss: 0.010043
Epoch [184/600] Loss: 0.010071
Epoch [185/600] Loss: 0.010016
Epoch [186/600] Loss: 0.010013
Epoch [187/600] Loss: 0.010010
Epoch [188/600] Loss: 0.009989
Epoch [189/600] Loss: 0.010076
Epoch [190/600] Loss: 0.009946
Epoch [191/600] Loss: 0.010076
Epoch [192/600] Loss: 0.010086
Epoch [193/600] Loss: 0.010067
Epoch [194/600] Loss: 0.010014
Epoch [195/600] Loss: 0.009958
Epoch [196/600] Loss: 0.010113
Epoch [197/600] Loss: 0.009989
Epoch [198/600] Loss: 0.009949
Epoch [199/600] Loss: 0.009955
Epoch [200/600] Loss: 0.010070 | Val PSNR: 42.1264
Epoch [201/600] Loss: 0.009822
Epoch [202/600] Loss: 0.009881
Epoch [203/600] Loss: 0.009904
Epoch [204/600] Loss: 0.009886
Epoch [205/600] Loss: 0.009846
Epoch [206/600] Loss: 0.009794
Epoch [207/600] Loss: 0.009806
Epoch [208/600] Loss: 0.009784
Epoch [209/600] Loss: 0.009903
Epoch [210/600] Loss: 0.009823
Epoch [211/600] Loss: 0.009841
Epoch [212/600] Loss: 0.009936
Epoch [213/600] Loss: 0.009957
Epoch [214/600] Loss: 0.009867
Epoch [215/600] Loss: 0.009870
Epoch [216/600] Loss: 0.009810
Epoch [217/600] Loss: 0.009848
Epoch [218/600] Loss: 0.009896
Epoch [219/600] Loss: 0.009734
Epoch [220/600] Loss: 0.009817
Epoch [221/600] Loss: 0.009813
Epoch [222/600] Loss: 0.009895
Epoch [223/600] Loss: 0.009849
Epoch [224/600] Loss: 0.009777
Epoch [225/600] Loss: 0.009794
Epoch [226/600] Loss: 0.009960
Epoch [227/600] Loss: 0.009808
Epoch [228/600] Loss: 0.009814
Epoch [229/600] Loss: 0.009861
Epoch [230/600] Loss: 0.009875
Epoch [231/600] Loss: 0.009761
Epoch [232/600] Loss: 0.009790
Epoch [233/600] Loss: 0.009845
Epoch [234/600] Loss: 0.009878
Epoch [235/600] Loss: 0.009844
Epoch [236/600] Loss: 0.009933
Epoch [237/600] Loss: 0.009840
